DENOM_CIA;CD_CVM
BOA VISTA SERVIÇOS S.A.;25135
SUGOI S.A.;23957
CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA;4863
CIA SEGUROS ALIANCA DA BAHIA;3115
FINANCEIRA ALFA S.A.- CRED FINANC E INVS;3891
CONSORCIO ALFA DE ADMINISTRACAO S.A.;4707
FULWOOD S.A.;26336
BCBF PARTICIPAÇÕES S.A.;24775
INSTITUTO HERMES PARDINI S.A.;24090
CIA TECIDOS SANTANENSE;4081
CIA TECIDOS NORTE DE MINAS COTEMINAS;3158
NU HOLDINGS LTD.;80209
BCO ABC BRASIL S.A.;20958
BANCO MODAL S.A.;25755
REFINARIA DE PETROLEOS MANGUINHOS S.A.;9989
RAÍZEN S.A.;25917
RIO ENERGY PARTICIPAÇÕES S.A.;26298
ANEMUS WIND HOLDING S.A.;26832
AMAZONE FUN PARKS S.A.;26930
SAO MARTINHO S.A.;20516
SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL;10472
BCO ALFA DE INVESTIMENTO S.A.;1384
MARISA LOJAS S.A.;22055
POMIFRUTAS S/A EM RECUPERACAO JUDICIAL;19658
CONSTRUTORA SULTEPA S.A. - EM RECUPERAÇÃO JUDICIAL;13030
BCO BRASIL S.A.;1023
CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437
COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;14451
AES BRASIL OPERAÇÕES S.A.;26174
CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;27472
ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;15423
LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;24880
STATKRAFT ENERGIAS RENOVAVEIS S.A.;22594
ENERGISA S.A.;15253
CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;21733
NEOENERGIA S.A.;15539
BBM LOGÍSTICA S.A.;24660
GAFISA S.A.;16101
SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;25160
VOTORANTIM CIMENTOS S.A.;27189
BRF S.A.;16292
CSU DIGITAL S.A.;20044
LIGHT ENERGIA S.A.;23000
CIA PARTICIPACOES ALIANCA DA BAHIA;18708
SUL 116 PARTICIPACOES S.A.;16438
ELETRORIVER S.A.;26891
CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;27480
V. TAL - REDE NEUTRA DE TELECOMUNICAÇÕES S.A.;27022
PORTO SEGURO S.A.;16659
DEXXOS PARTICIPAÇÕES S.A.;16632
CEL PARTICIPAÇÕES S.A. - CELPAR;16675
YBYRÁ CAPITAL S.A.;16705
UNIFIQUE TELECOMUNICAÇÕES S.A.;26050
INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;17868
LOCALIZA FLEET S.A.;24813
PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;19232
EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;16993
TEGMA GESTAO LOGISTICA S.A.;20800
LWSA S/A;24910
LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;24872
PADTEC HOLDING S.A.;18414
RUMO S.A.;17450
TIM S.A.;24929
CPFL ENERGIA S.A.;18660
ENGIE BRASIL ENERGIA S.A.;17329
VITAL ENGENHARIA AMBIENTAL S.A.;27510
TELEFÔNICA BRASIL S.A;17671
HOSPITAL ANCHIETA S.A.;26468
TIM BRASIL SERVIÇOS E PARTICIPAÇÕES S.A.;27090
BRAZILIAN FINANCE E REAL ESTATE S.A.;17922
SANTOS BRASIL PARTICIPACOES S.A.;17892
COGNA EDUCAÇÃO S.A.;17973
CCR S.A.;18821
T4F ENTRETENIMENTO S.A.;22454
JBS S.A.;20575
ARTERIS S.A.;19771
HYPERA S.A.;21431
PDG REALTY S.A. EMPREEND E PARTICIPACOES;20478
RIO PARANAPANEMA ENERGIA S.A.;18368
CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;18376
TPI - TRIUNFO PARTICIP. E INVEST. S.A.;19330
EQUATORIAL ENERGIA S.A.;20010
ORIZON MEIO AMBIENTE S.A.;27049
PETRORECÔNCAVO S.A.;25780
LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;19879
INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;18775
CLEAR SALE S.A.;26093
SABER SERVIÇOS EDUCACIONAIS S.A.;24490
MARFRIG GLOBAL FOODS S.A.;20788
CPFL GERACAO DE ENERGIA S.A.;18953
EDP - ENERGIAS DO BRASIL S.A.;19763
ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;19100
BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;27391
BIONEXO S.A.;25925
ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;19453
AGASUS S.A.;27324
LIGGA TELECOMUNICAÇÕES S.A.;27367
COPEL GERAÇÃO E TRANSMISSÃO S.A.;24740
ENEVA S.A;21237
BIOMM S.A.;19305
METALFRIO SOLUTIONS S.A.;20613
GRUPO FARTURA DE HORTIFRUT S.A.;26166
SER EDUCACIONAL S.A.;23221
HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;24392
INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;26387
ALLOS S.A.;22357
LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;25895
REDE D'OR SÃO LUIZ S.A.;24821
GOL LINHAS AEREAS INTELIGENTES S.A.;19569
SBF COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.;25410
EMPREENDIMENTOS PAGUE MENOS S.A.;22608
BR MALLS PARTICIPACOES S.A.;19909
CEMIG GERACAO E TRANSMISSAO S.A.;20320
CLARO TELECOM PARTICIPAÇÕES S.A.;23531
M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;20338
ELDORADO BRASIL CELULOSE S.A.;22810
SIMPAR S.A.;25003
AMBEV S.A.;23264
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;24260
BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;20036
EMBRAER S.A.;20087
DATORA PARTICIPAÇÕES E SERVIÇOS S.A.;26557
GIGA MAIS FIBRA TELECOMUNICAÇÕES S.A.;27502
ESSENTIA PCHS S.A.;26158
MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;20982
FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;20630
FOZ DO RIO CLARO ENERGIA S.A.;26697
AURA MINERALS INC.;80187
GP INVESTMENTS, LTD.;80020
TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;20257
MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;24902
TECNISA S.A.;20435
LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;20370
IGUA SANEAMENTO S.A.;23175
DESKTOP S.A.;26026
ALUBAR METAIS E CABOS S.A.;27430
JHSF PARTICIPACOES S.A.;20605
EZ TEC EMPREEND. E PARTICIPACOES S.A.;20770
