DENOM_CIA;CD_CVM
LOJAS AMERICANAS S.A.;8087
JOAO FORTES ENGENHARIA S.A. - EM RECUPERAÇÃO JUDICIAL;7811
GRUPO CASAS BAHIA S.A.;6505
CIA SIDERURGICA NACIONAL;4030
MONTEIRO ARANHA S.A.;8893
VALID SOLUÇÕES S.A.;20028
SERGEN SERVS GERAIS DE ENG SA;10596
HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL;6700
WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;11070
ULTRAPAR PARTICIPACOES S.A.;18465
SONDOTECNICA ENGENHARIA SOLOS S.A.;10880
REFINARIA DE PETROLEOS MANGUINHOS S.A.;9989
DOCAS INVESTIMENTOS SA;3182
TEKNO S.A. - INDUSTRIA E COMERCIO;11231
CIA HIDRO ELÉTRICA DO SÃO FRANCISCO;3328
VALE S.A.;4170
GERDAU S.A.;3980
LATAM AIRLINES GROUP S.A.;80128
UNIPAR CARBOCLORO S.A.;11592
AMIL PARTICIPAÇÕES S/A;21172
BRASKEM S.A.;4820
LOG-IN LOGISTICA INTERMODAL S.A.;20710
EMBPAR PARTICIPAÇÕES S/A;15458
IGB ELETRONICA S.A - EM RECUPERACAO JUDICIAL;6815
EVEN CONSTRUTORA E INCORPORADORA S.A.;20524
CIA SANEAMENTO BASICO EST SAO PAULO;14443
USINA COSTA PINTO SA ACUC ALC;12220
PROFARMA DISTRIB PROD FARMACEUTICOS S.A.;20346
BAHEMA EDUCAÇÃO S.A.;701
CONSTRUTORA LIX DA CUNHA S.A.;4774
CIA BRASILEIRA DE DISTRIBUICAO;14826
MAGAZINE LUIZA S.A.;22470
HELBOR EMPREENDIMENTOS S.A.;20877
VESTE S.A. ESTILO;21440
BOMBRIL S.A.;12190
COSAN S.A.;19836
VULCABRAS S.A.;11762
IGUATEMI EMPRESA DE SHOPPING CENTERS S.A;20494
SAO MARTINHO S.A.;20516
PLASCAR PARTICIPACOES INDUSTRIAIS S.A.;13471
JSL S.A.;22020
TOTVS S.A.;19992
JPSP INVESTIMENTOS E PARTICIPAÇÕES S/A;12262
ITAUTEC S.A. - GRUPO ITAUTEC;12530
EUCATEX S.A. INDUSTRIA E COMERCIO;5770
ROMI S.A.;7510
M&G POLIÉSTER SA;14559
BICICLETAS MONARK S.A.;1694
ODONTOPREV S.A.;20125
BROOKFIELD SÃO PAULO EMPREENDIMENTOS IMOBILIÁRIOS S.A.;19046
AUTOMETAL S.A.;22381
WHIRLPOOL S.A.;14346
DIXIE TOGA SA;14931
PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL;9393
MAHLE-METAL LEVE S.A.;8575
SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL;10472
IGUATEMI S.A.;8672
FIBRIA CELULOSE S.A.;12793
SUZANO HOLDING S.A.;9067
CIA MELHORAMENTOS DE SAO PAULO;3654
FLEURY S.A.;21881
BARDELLA S.A. INDUSTRIAS MECANICAS EM RECUPERAÇÃO JUDICIAL;1520
ITAU UNIBANCO HOLDING S.A.;19348
CONFAB INDUSTRIAL SA;4650
USINAS SID DE MINAS GERAIS S.A.-USIMINAS;14320
CONSTRUTORA ADOLPHO LINDENBERG S.A.;4723
MANGELS INDUSTRIAL S.A.;8397
ROSSI RESIDENCIAL S.A. - EM RECUPERAÇÃO JUDICIAL;16306
NADIR FIGUEIREDO IND E COM S.A.;9040
ALPARGATAS S.A.;10456
MANUFATURA DE BRINQUEDOS ESTRELA S.A.;8427
CAMBUCI S.A.;2100
ETERNIT S.A. - EM RECUPERAÇÃO JUDICIAL;5762
IOCHPE MAXION S.A.;11932
SIDERURGICA J. L. ALIPERTI S.A.;12823
MARISA LOJAS S.A.;22055
AZEVEDO E TRAVASSOS S.A.;11975
BAUMER S.A.;1562
DIAGNOSTICOS DA AMERICA S.A.;19623
ITAÚSA S.A.;7617
PARAMOUNT TEXTEIS INDUSTRIA E COMERCIO S/A;19798
REDE ENERGIA PARTICIPAÇÕES S.A.;3190
BANCO CRUZEIRO DO SUL SA;20753
BCO PINE S.A;20567
CAMARGO CORREA CIMENTOS SA;19631
RNI NEGÓCIOS IMOBILIÁRIOS S.A.;20451
CAMARGO CORREA DESENVOLVIMENTO IMOBILIARIO SA;20486
VIVER INCORPORADORA E CONSTRUTORA S.A.;20702
MINERVA S.A.;20931
ALGAR TELECOM S/A;21032
CONSTRUTORA TENDA S.A.;21148
NATURA COSMETICOS S.A.;19550
CYRELA BRAZIL REALTY S.A.EMPREEND E PART;14460
CIA. IGUAÇU DE CAFÉ SOLÚVEL;3336
CIA PARANAENSE DE ENERGIA - COPEL;14311
COMPANHIA PROVIDENCIA IND E COMERCIO;20974
OI S.A. - EM RECUPERAÇÃO JUDICIAL;11312
INEPAR S.A. INDUSTRIA E CONSTRUCOES EM RECUPERACAO JUDICIAL;7595
CIA CACIQUE CAFE SOLUVEL;2909
CIA HERING;14761
CECRISA REVESTIMENTOS CERAMICOS SA;15610
POSITIVO TECNOLOGIA S.A.;20362
BEMATECH IND COM EQUIP ELETRONICOS SA;20656
TEKA-TECELAGEM KUEHNRICH S.A. - EM RECUPERAÇÃO JUDICIAL;11223
KARSTEN S.A.;4146
CREMER SA;20141
TEXTIL RENAUXVIEW S.A.;7544
PBG S/A;13773
CENTRAIS ELET DE SANTA CATARINA S.A.;2461
CIA DOCAS DE IMBITUBA;3174
WEG S.A.;5410
MARISOL SA;8486
TUPY S.A.;6343
DOHLER S.A.;5207
WETZEL S.A.;11991
SCHULZ S.A.;14664
METISA METALURGICA TIMBOENSE S.A.;8753
POMIFRUTAS S/A EM RECUPERACAO JUDICIAL;19658
JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP;13285
CIA HABITASUL DE PARTICIPACOES;3298
FRAS-LE S.A.;6211
MUNDIAL S.A. - PRODUTOS DE CONSUMO;5312
MARCOPOLO S.A.;8451
PETTENATI S.A. INDUSTRIA TEXTIL;9539
RANDON S.A. IMPLEMENTOS E PARTICIPACOES;14109
SLC AGRICOLA S.A.;20745
LUPATECH S.A;20060
KLABIN S.A.;12653
CONSTRUTORA SULTEPA S.A. - EM RECUPERAÇÃO JUDICIAL;13030
GRENDENE S.A.;19615
MINUPAR PARTICIPACOES S.A.;13765
BCO SANTANDER (BRASIL) S.A.;20532
RECRUSUL S.A.;12572
ÉVORA SA;13412
KEPLER WEBER S.A.;7870
GRAZZIOTIN S.A.;4537
TREVISA INVESTIMENTOS S.A.;8192
YARA BRASIL FERTILIZANTES;140
DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS;9342
METALURGICA GERDAU S.A.;8656
PANATLANTICA S.A.;94
LOJAS RENNER S.A.;8133
TAURUS ARMAS S.A.;6173
IRANI PAPEL E EMBALAGEM S.A.;2429
CIA RIOGRANDENSE DE SANEAMENTO;16748
DHB IND E COMERCIO SA;5150
SPRINGER S.A.;10960
DEXCO S.A.;21091
LIGHT ENERGIA S.A.;23000
SINQIA S.A.;22799
SOLVAY INDUPA SAIC;80101
LINX S.A.;23035
ELDORADO BRASIL CELULOSE S.A.;22810
CCX CARVÃO DA COLÔMBIA S.A. - EM LIQUIDAÇÃO;20184
BCO PATAGONIA S.A.;80063
BASEL PARTICIPAÇÕES S/A;21601
BELMONTE PARTICIPAÇÕES SA;21580
ADVANCED DIGITAL HEALTH MEDICINA PREVENTIVA S.A.;21725
VIGOR ALIMENTOS S.A.;22772
TGLT S/A;80136
PPLA PARTICIPATIONS LTD.;80152
BIOSEV S.A.;22845
AR CAPITAL SECURITIES COMPANHIA SECURITIZADORA S.A.;22950
HAGA S.A. INDUSTRIA E COMERCIO;13366
CIMENTO TUPI S.A.;22829
NUTRIPLANT INDUSTRIA E COMERCIO S.A.;21334
RAIA DROGASIL S.A.;5258
NEUMARKT TRADE AND FINANCIAL CENTER S/A;14613
TELEC BRASILEIRAS S.A. TELEBRAS;11258
SER EDUCACIONAL S.A.;23221
AMBEV S.A.;23264
RAIZEN ENERGIA S.A.;23230
IGUA SANEAMENTO S.A.;23175
LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;23272
ANIMA HOLDING S.A.;23248
METROPOLIS EMPREENDIMENTOS IMOBILIÁRIOS S/A;22047
CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.;23310
BRAZAL BRASIL ALIMENTOS SA;21865
NAOMI PARTICIPAÇÕES S.A.;22667
BELEZA PARTICIPAÇÕES S.A.;22632
